,index,latitude,longitude,duration
311,556.0,40.7317894,-74.0078129,13.0
312,556.0,40.7328666,-74.007538,23.0
313,556.0,40.7324491,-74.0101245,28.0
314,556.0,40.7323041,-74.0106803,65.0
315,556.0,40.7242254,-74.0116054,159.0
316,556.0,40.7242681,-74.0111071,66.0
317,556.0,40.724104,-74.0094303,28.0
318,556.0,40.7174592,-74.0106382,157.0
319,556.0,40.717436,-74.0104672,3.0
320,557.0,40.7316756,-74.0066099,11.0
321,557.0,40.7368739,-74.0055605,152.0
322,557.0,40.7559504,-73.9907232,524.0
323,557.0,40.7543392,-73.9869051,98.0
324,557.0,40.7530131,-73.9873233,23.0
325,558.0,40.7316756,-74.0066099,11.0
326,558.0,40.7368739,-74.0055605,152.0
327,558.0,40.7410712,-74.0015593,144.0
328,558.0,40.7372142,-73.992425,237.0
329,559.0,40.7318819,-74.0087999,25.0
330,559.0,40.7260624,-74.0099167,111.0
331,559.0,40.7248988,-74.0026214,189.0
332,559.0,40.7227218,-74.0044507,97.0
333,559.0,40.7216799,-74.0023261,41.0
334,560.0,40.7316756,-74.0066099,11.0
335,560.0,40.7368739,-74.0055605,152.0
336,560.0,40.7484335,-73.9962003,332.0
337,560.0,40.7472392,-73.9933645,49.0
338,560.0,40.7466232,-73.9938171,39.0
339,560.0,40.7466611,-73.9939044,1.0
340,561.0,40.7317894,-74.0078129,13.0
341,561.0,40.7335607,-74.0073703,37.0
342,561.0,40.7339987,-74.0045951,69.0
343,561.0,40.7303361,-74.0024887,98.0
344,561.0,40.7304394,-74.0021787,5.0
345,562.0,40.7317894,-74.0078129,13.0
346,562.0,40.7335607,-74.0073703,37.0
347,562.0,40.7339987,-74.0045951,69.0
348,562.0,40.7280718,-73.9989723,197.0
349,562.0,40.729149,-73.9980588,26.0
350,563.0,40.7318819,-74.0087999,25.0
351,563.0,40.7260624,-74.0099167,111.0
352,563.0,40.7245656,-74.0019192,202.0
353,563.0,40.7249392,-74.0016081,9.0
354,564.0,40.7316756,-74.0066099,11.0
355,564.0,40.7368739,-74.0055605,152.0
356,564.0,40.7416646,-74.0011315,157.0
357,564.0,40.741809,-74.0014727,26.0
358,565.0,40.7317894,-74.0078129,13.0
359,565.0,40.7335607,-74.0073703,37.0
360,565.0,40.7287487,-73.9844522,591.0
361,565.0,40.7338178,-73.9807615,162.0
362,565.0,40.7337223,-73.9805925,4.0
363,565.0,40.7338067,-73.9805313,3.0
364,566.0,40.7316756,-74.0066099,11.0
365,566.0,40.7368739,-74.0055605,152.0
366,566.0,40.7585406,-73.9888398,603.0
367,566.0,40.754915,-73.980207,204.0
368,567.0,40.7316756,-74.0066099,11.0
369,567.0,40.7368739,-74.0055605,152.0
370,567.0,40.7484335,-73.9962003,332.0
371,567.0,40.7472392,-73.9933645,49.0
372,567.0,40.7466232,-73.9938171,39.0
373,567.0,40.7466611,-73.9939044,1.0
374,568.0,40.7317894,-74.0078129,13.0
375,568.0,40.7335607,-74.0073703,37.0
376,568.0,40.7327152,-73.9938332,344.0
377,568.0,40.7345258,-73.9922895,44.0
378,568.0,40.7354592,-73.9945241,59.0
