station.id,station.name,latitude,longitude,boroname
312,Allen St & E Houston St,40.722055,-73.989111,Manhattan
312,Allen St & E Houston St,40.722055,-73.989111,Manhattan
301,E 2 St & Avenue B,40.72217444,-73.98368779,Manhattan
301,E 2 St & Avenue B,40.72217444,-73.98368779,Manhattan
411,E 6 St & Avenue D,40.72228087,-73.97668709,Manhattan
265,Stanton St & Chrystie St,40.72229346,-73.99147535,Manhattan
265,Stanton St & Chrystie St,40.72229346,-73.99147535,Manhattan
377,6 Ave & Canal St,40.72243797,-74.00566443,Manhattan
393,E 5 St & Avenue C,40.72299208,-73.97995466,Manhattan
3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,Manhattan
251,Mott St & Prince St,40.72317958,-73.99480012,Manhattan
251,Mott St & Prince St,40.72317958,-73.99480012,Manhattan
251,Mott St & Prince St,40.72317958,-73.99480012,Manhattan
3106,Driggs Ave & N Henry St,40.72325,-73.94308,Manhattan
3106,Driggs Ave & N Henry St,40.72325,-73.94308,Manhattan
303,Mercer St & Spring St,40.72362738,-73.99949601,Manhattan
328,Watts St & Greenwich St,40.72405549,-74.00965965,Manhattan
2004,6 Ave & Broome St,40.724399,-74.004704,Manhattan
2004,6 Ave & Broome St,40.724399,-74.004704,Manhattan
317,E 6 St & Avenue B,40.72453734,-73.98185424,Manhattan
317,E 6 St & Avenue B,40.72453734,-73.98185424,Manhattan
250,Lafayette St & Jersey St,40.72456089,-73.99565293,Manhattan
428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan
428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan
428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan
428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan
348,W Broadway & Spring St,40.72490985,-74.00154702,Manhattan
348,W Broadway & Spring St,40.72490985,-74.00154702,Manhattan
403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan
403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan
403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan
403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan
3108,Nassau Ave & Russell St,40.72557,-73.94434,Manhattan
3111,Norman Ave & Leonard St,40.7258483,-73.95064893,Manhattan
432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan
432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan
432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan
432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan
432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan
432,E 7 St & Avenue A,40.72622,-73.9838,Manhattan
439,E 4 St & 2 Ave,40.7262807,-73.98978041,Manhattan
439,E 4 St & 2 Ave,40.7262807,-73.98978041,Manhattan
375,Mercer St & Bleecker St,40.72679454,-73.99695094,Manhattan
375,Mercer St & Bleecker St,40.72679454,-73.99695094,Manhattan
375,Mercer St & Bleecker St,40.72679454,-73.99695094,Manhattan
128,MacDougal St & Prince St,40.72710258,-74.00297088,Manhattan
128,MacDougal St & Prince St,40.72710258,-74.00297088,Manhattan
445,E 10 St & Avenue A,40.72740794,-73.98142006,Manhattan
229,Great Jones St,40.72743423,-73.99379025,Manhattan
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,Manhattan
300,Shevchenko Pl & E 6 St,40.728145,-73.990214,Manhattan
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Manhattan
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Manhattan
347,W Houston St & Hudson St,40.72873888,-74.00748842,Manhattan
335,Washington Pl & Broadway,40.72903917,-73.99404649,Manhattan
335,Washington Pl & Broadway,40.72903917,-73.99404649,Manhattan
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,Manhattan
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,Manhattan
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,Manhattan
511,E 14 St & Avenue B,40.72938685,-73.97772429,Manhattan
511,E 14 St & Avenue B,40.72938685,-73.97772429,Manhattan
511,E 14 St & Avenue B,40.72938685,-73.97772429,Manhattan
326,E 11 St & 1 Ave,40.72953837,-73.98426726,Manhattan
3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,Manhattan
3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,Manhattan
293,Lafayette St & E 8 St,40.73028666,-73.9907647,Manhattan
293,Lafayette St & E 8 St,40.73028666,-73.9907647,Manhattan
293,Lafayette St & E 8 St,40.73028666,-73.9907647,Manhattan
368,Carmine St & 6 Ave,40.73038599,-74.00214988,Manhattan
368,Carmine St & 6 Ave,40.73038599,-74.00214988,Manhattan
368,Carmine St & 6 Ave,40.73038599,-74.00214988,Manhattan
368,Carmine St & 6 Ave,40.73038599,-74.00214988,Manhattan
237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan
237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan
237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan
237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan
237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan
237,E 11 St & 2 Ave,40.73047309,-73.98672378,Manhattan
294,Washington Square E,40.73049393,-73.9957214,Manhattan
